"@timestamp,""http_duration"""
"Sep 18, 2024 @ 17:22:06.123,1384"
"Sep 18, 2024 @ 17:22:06.098,696"
"Sep 18, 2024 @ 17:22:06.066,746"
"Sep 18, 2024 @ 17:22:06.014,751"
"Sep 18, 2024 @ 17:22:06.009,708"
"Sep 18, 2024 @ 17:22:06.005,683"
"Sep 18, 2024 @ 17:22:05.947,992"
"Sep 18, 2024 @ 17:22:05.916,564"
"Sep 18, 2024 @ 17:22:05.647,584"
"Sep 18, 2024 @ 17:22:05.642,582"
"Sep 18, 2024 @ 17:22:05.538,468"
"Sep 18, 2024 @ 17:22:05.515,537"
"Sep 18, 2024 @ 17:22:05.513,544"
"Sep 18, 2024 @ 17:22:05.466,485"
"Sep 18, 2024 @ 17:22:05.399,721"
"Sep 18, 2024 @ 17:22:05.318,738"
"Sep 18, 2024 @ 17:22:05.215,469"
